Index	SampleID	BaseName	ArrayType	GSMID	SampleType	Download	Annotations	AnnotColor
9007225142_R05C02	CONTR_PINEAL_12		450k	GSM2403745	ref	TRUE		
3999834096_R04C01	CONTR_PONS_01		450k	GSM2405402	ref	TRUE		
3999834095_R03C01	CONTR_PONS_02		450k	GSM2405392	ref	TRUE		
3999834096_R02C01	CONTR_PONS_03		450k	GSM2405400	ref	TRUE		
3999834096_R03C02	CONTR_PONS_04		450k	GSM2405406	ref	TRUE		
3999834096_R02C02	CONTR_PONS_05		450k	GSM2405405	ref	TRUE		
3999834095_R02C02	CONTR_PONS_06		450k	GSM2405396	ref	TRUE		
3999834096_R01C01	CONTR_PONS_07		450k	GSM2405399	ref	TRUE		
3999834095_R02C01	CONTR_PONS_08		450k	GSM2405391	ref	TRUE		
3999834096_R06C01	CONTR_PONS_09		450k	GSM2405403	ref	TRUE		
3999834096_R04C02	CONTR_PONS_10		450k	GSM2405407	ref	TRUE		
3999834095_R03C02	CONTR_PONS_11		450k	GSM2405397	ref	TRUE		
3999834096_R03C01	CONTR_PONS_12		450k	GSM2405401	ref	TRUE		
3998909006_R02C02	CONTR_REACT_01		450k	GSM2405512	ref	TRUE		
8622007067_R06C02	CONTR_REACT_02		450k	GSM2403519	ref	TRUE		
6929689152_R02C01	CONTR_REACT_03		450k	GSM2402928	ref	TRUE		
8622007069_R03C02	CONTR_REACT_04		450k	GSM2403513	ref	TRUE		
7310440067_R03C02	CONTR_REACT_05		450k	GSM2403223	ref	TRUE		
6929718017_R02C02	CONTR_REACT_06		450k	GSM2402966	ref	TRUE		
8622007119_R05C01	CONTR_REACT_07		450k	GSM2403614	ref	TRUE		
8622007069_R04C02	CONTR_REACT_08		450k	GSM2403512	ref	TRUE		
9969477101_R01C02	CONTR_REACT_09		450k	GSM2405073	ref	TRUE		
8622007069_R05C02	CONTR_REACT_10		450k	GSM2403511	ref	TRUE		
8622007023_R02C02	CONTR_REACT_11		450k	GSM2403455	ref	TRUE		
10006823141_R05C01	CONTR_REACT_12		450k	GSM2405289	ref	TRUE		
8622007069_R02C02	CONTR_REACT_13		450k	GSM2403514	ref	TRUE		
6969568005_R03C01	CONTR_REACT_14		450k	GSM2402886	ref	TRUE		
8622007119_R03C01	CONTR_REACT_15		450k	GSM2403612	ref	TRUE		
8622007119_R04C01	CONTR_REACT_16		450k	GSM2403613	ref	TRUE		
10006823123_R06C02	CONTR_REACT_17		450k	GSM2405283	ref	TRUE		
